                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                 1.0221,                0.97476,                 1.1767,                0.87854,                0.72816,                0.78216,                 0.5987,                0.91085,                0.65066,                 1.0244,               0.005875,               0.005875,               0.005875
                    128,                  1.019,                0.97486,                 1.1725,                0.87648,                0.72876,                0.78229,                 0.5989,                0.91027,                0.65014,                 1.0239,               0.005842,               0.005842,               0.005842
                    129,                 1.0168,                0.96838,                 1.1741,                0.87913,                0.72937,                0.78325,                0.59916,                0.91008,                0.64948,                 1.0241,               0.005809,               0.005809,               0.005809
                    130,                 1.0095,                0.95689,                 1.1707,                 0.8807,                0.72854,                 0.7841,                0.59993,                0.90954,                0.64941,                 1.0238,               0.005776,               0.005776,               0.005776
                    131,                 1.0095,                0.96043,                 1.1669,                0.88419,                0.72803,                 0.7847,                0.60037,                0.90872,                0.64884,                 1.0237,               0.005743,               0.005743,               0.005743
                    132,                 1.0054,                0.95103,                 1.1628,                0.88537,                0.72757,                0.78468,                0.60104,                0.90791,                0.64852,                 1.0237,                0.00571,                0.00571,                0.00571
                    133,                 1.0076,                 0.9451,                 1.1634,                0.88054,                0.73057,                0.78475,                0.60138,                0.90724,                0.64829,                 1.0235,               0.005677,               0.005677,               0.005677
                    134,                 1.0011,                0.94158,                  1.164,                0.87517,                 0.7308,                0.78424,                0.60141,                 0.9069,                0.64714,                 1.0234,               0.005644,               0.005644,               0.005644
                    135,                 0.9953,                0.93715,                 1.1597,                0.87548,                0.73223,                0.78494,                 0.6026,                0.90573,                0.64627,                 1.0228,               0.005611,               0.005611,               0.005611
                    136,                0.99896,                0.93492,                 1.1597,                0.86768,                0.73666,                0.78545,                0.60309,                0.90528,                0.64585,                 1.0227,               0.005578,               0.005578,               0.005578
                    137,                0.99472,                0.92856,                 1.1577,                0.87173,                0.73489,                0.78544,                0.60397,                0.90478,                0.64516,                 1.0227,               0.005545,               0.005545,               0.005545
                    138,                0.98593,                0.92521,                 1.1518,                0.87198,                0.73484,                0.78569,                0.60397,                0.90423,                0.64451,                 1.0225,               0.005512,               0.005512,               0.005512
                    139,                0.99201,                0.92614,                 1.1542,                0.87579,                0.73436,                0.78616,                0.60502,                0.90376,                 0.6434,                 1.0224,               0.005479,               0.005479,               0.005479
                    140,                0.99014,                0.92607,                 1.1503,                0.87325,                0.73461,                0.78649,                 0.6053,                 0.9034,                 0.6426,                 1.0224,               0.005446,               0.005446,               0.005446
                    141,                0.97806,                0.91505,                 1.1483,                0.86389,                0.73779,                0.78667,                0.60528,                0.90281,                0.64232,                 1.0223,               0.005413,               0.005413,               0.005413
                    142,                0.98723,                0.92335,                 1.1514,                0.86302,                0.74099,                0.78686,                0.60618,                0.90298,                0.64212,                 1.0223,                0.00538,                0.00538,                0.00538
                    143,                0.96969,                0.90594,                 1.1449,                0.86635,                0.73799,                 0.7868,                0.60579,                0.90298,                0.64182,                 1.0225,               0.005347,               0.005347,               0.005347
                    144,                0.96787,                0.89272,                 1.1409,                0.86339,                0.73836,                0.78705,                0.60604,                0.90251,                0.64083,                 1.0222,               0.005314,               0.005314,               0.005314
                    145,                0.96974,                0.89866,                 1.1389,                0.86044,                0.73883,                0.78721,                0.60565,                0.90204,                0.63959,                 1.0221,               0.005281,               0.005281,               0.005281
                    146,                0.98304,                0.89955,                 1.1436,                0.85855,                0.74014,                0.78756,                0.60559,                0.90188,                0.63903,                  1.022,               0.005248,               0.005248,               0.005248
                    147,                0.96136,                0.89379,                 1.1392,                0.86119,                0.74117,                0.78806,                0.60669,                0.90132,                0.63874,                 1.0219,               0.005215,               0.005215,               0.005215
                    148,                0.97073,                0.88714,                 1.1418,                0.85805,                0.74247,                0.78786,                0.60642,                0.90097,                0.63918,                 1.0218,               0.005182,               0.005182,               0.005182
